,MUNICIPIO_NACIMIENTO,MUNICIPIO_RESIDENCIA
809,VALLEDUPAR,
810,CHIMICHAGUA,
811,"BOGOTÁ, D.C.",
812,SAN DIEGO,
813,MONTERÍA,
814,"BOGOTÁ, D.C.",
815,LA PAZ,
816,,
817,POPAYÁN,
818,VALLEDUPAR,
819,VALLEDUPAR,VALLEDUPAR
820,CHIMICHAGUA,VALLEDUPAR
821,VALLEDUPAR,
822,VALLEDUPAR,
823,VALLEDUPAR,
824,BARRANQUILLA,LA PAZ
825,VALLEDUPAR,
826,VALLEDUPAR,
827,VALLEDUPAR,VALLEDUPAR
828,VALLEDUPAR,VALLEDUPAR
829,EL RETÉN,
830,BUCARAMANGA,
831,VALLEDUPAR,VALLEDUPAR
832,VALLEDUPAR,VALLEDUPAR
833,LA PAZ,
834,LA PAZ,
835,VALLEDUPAR,VALLEDUPAR
836,PUEBLO BELLO,
837,SAN DIEGO,
838,LA PAZ,LA PAZ
839,AGUSTÍN CODAZZI,AGUSTÍN CODAZZI
840,PUEBLO BELLO,LA PAZ
841,AGUACHICA,VALLEDUPAR
842,VALLEDUPAR,EL PASO
843,VALLEDUPAR,VALLEDUPAR
844,VALLEDUPAR,
845,VALLEDUPAR,
846,VALLEDUPAR,
847,LA PAZ,
848,PUEBLO BELLO,PUEBLO BELLO
849,VALLEDUPAR,LA PAZ
850,ASTREA,
851,SANTA MARTA,
852,VALLEDUPAR,
853,LA PAZ,
854,CHIBOLO,VALLEDUPAR
855,RIOHACHA,
856,VALLEDUPAR,
857,VALLEDUPAR,VALLEDUPAR
858,BECERRIL,
859,CARTAGENA DE INDIAS,
860,VALLEDUPAR,
861,VALLEDUPAR,VALLEDUPAR
862,VALLEDUPAR,
863,VALLEDUPAR,
864,VALLEDUPAR,VALLEDUPAR
865,VALLEDUPAR,
866,"BOGOTÁ, D.C.",
867,VALLEDUPAR,
868,VALLEDUPAR,VALLEDUPAR
869,VALLEDUPAR,
870,VALLEDUPAR,
871,VALLEDUPAR,
872,LA PAZ,
873,VALLEDUPAR,
874,VALLEDUPAR,
875,VALLEDUPAR,
876,SAN JOSÉ DE CÚCUTA,
